TYPE,ID,NAME,CATEGORY,PRICE,QTY,REORDER,PARAM1,PARAM2
ELECTRONIC,E203,Cisco Router X1,Networking,399.00,12,5,36,110
PERISHABLE,P103,Artisan Cheese,Dairy,8.99,15,20,2026-09-21,2.5
ELECTRONIC,TEST-LOW,Low Stock Item,Hardware,50.00,2,5,6,110
ELECTRONIC,E999,Automated Drone,Robotics,1299.99,8,3,24,24
PERISHABLE,P102,Fresh Apples,Produce,1.99,45,50,2026-09-30,10.0
PERISHABLE,P101,Organic Milk,Dairy,3.49,115,20,2026-09-25,4.0
PERISHABLE,TEST-EXP,Expired Cheese,Dairy,5.00,10,2,2026-09-16,4.0
ELECTRONIC,E201,Dell Monitor 27in,Hardware,249.99,30,10,24,220
ELECTRONIC,TEST-01,Test Laptop,Hardware,999.99,10,2,12,220
ELECTRONIC,E202,Logitech MX Mouse,Peripherals,99.50,8,15,12,5
